w	r	wave	priority	status	parity_status	cutover_status	python_handler	parity_fixture	notes
facturador	copy_master_tables	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.copy_master_tables	tests/fixtures/parity/facturador/copy_master_tables	
facturador	delete_reciver	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.delete_reciver	tests/fixtures/parity/facturador/delete_reciver	
facturador	getCompannyLocationInformation	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.getCompannyLocationInformation	tests/fixtures/parity/facturador/getCompannyLocationInformation	
facturador	getProductByCode	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.getProductByCode	tests/fixtures/parity/facturador/getProductByCode	
facturador	getSucursales	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.getSucursales	tests/fixtures/parity/facturador/getSucursales	
facturador	getTerminales	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.getTerminales	tests/fixtures/parity/facturador/getTerminales	
facturador	getUnid	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.getUnid	tests/fixtures/parity/facturador/getUnid	
facturador	getUserPermissionById	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.getUserPermissionById	tests/fixtures/parity/facturador/getUserPermissionById	
facturador	getUsersCompanny	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.getUsersCompanny	tests/fixtures/parity/facturador/getUsersCompanny	
facturador	get_active_receiver	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.get_active_receiver	tests/fixtures/parity/facturador/get_active_receiver	
facturador	get_all_privinces	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.get_all_privinces	tests/fixtures/parity/facturador/get_all_privinces	
facturador	get_cantons	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.get_cantons	tests/fixtures/parity/facturador/get_cantons	
facturador	get_companny_information	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.get_companny_information	tests/fixtures/parity/facturador/get_companny_information	
facturador	get_companny_information_admin	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.get_companny_information_admin	tests/fixtures/parity/facturador/get_companny_information_admin	
facturador	get_district	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.get_district	tests/fixtures/parity/facturador/get_district	
facturador	get_inventory	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.get_inventory	tests/fixtures/parity/facturador/get_inventory	
facturador	get_neighborhood	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.get_neighborhood	tests/fixtures/parity/facturador/get_neighborhood	
facturador	get_prod_companny_credentials	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.get_prod_companny_credentials	tests/fixtures/parity/facturador/get_prod_companny_credentials	
facturador	get_prod_credentials	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.get_prod_credentials	tests/fixtures/parity/facturador/get_prod_credentials	
facturador	get_receiver_by_id	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.get_receiver_by_id	tests/fixtures/parity/facturador/get_receiver_by_id	
facturador	get_stag_companny_credentials	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.get_stag_companny_credentials	tests/fixtures/parity/facturador/get_stag_companny_credentials	
facturador	get_stag_credentials	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.get_stag_credentials	tests/fixtures/parity/facturador/get_stag_credentials	
facturador	get_tipo_impuesto	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.get_tipo_impuesto	tests/fixtures/parity/facturador/get_tipo_impuesto	
facturador	get_type_of_id	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.get_type_of_id	tests/fixtures/parity/facturador/get_type_of_id	
facturador	get_vouchers	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.get_vouchers	tests/fixtures/parity/facturador/get_vouchers	
facturador	info	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.info	tests/fixtures/parity/facturador/info	
facturador	inser_to_log_table	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.inser_to_log_table	tests/fixtures/parity/facturador/inser_to_log_table	
facturador	users_log_me_out	W2_BUSINESS	P1	not_started	captured	not_cutover	python_api.handlers.facturador.users_log_me_out	tests/fixtures/parity/facturador/users_log_me_out	
