w	r	module_file	wave	priority	status	python_handler	parity_fixture	parity_status	cutover_status	owner	notes
facturador	companny_users_logMeIn	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.companny_users_logMeIn	tests/fixtures/parity/facturador/companny_users_logMeIn	passed	cutover	unassigned	
facturador	companny_users_recover_pwd	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.companny_users_recover_pwd	tests/fixtures/parity/facturador/companny_users_recover_pwd	passed	cutover	unassigned	
facturador	companny_users_register	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.companny_users_register	tests/fixtures/parity/facturador/companny_users_register	passed	cutover	unassigned	
facturador	companny_users_update_profile	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.companny_users_update_profile	tests/fixtures/parity/facturador/companny_users_update_profile	passed	cutover	unassigned	
facturador	company_change_env	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.company_change_env	tests/fixtures/parity/facturador/company_change_env	passed	cutover	unassigned	
facturador	company_get_env	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.company_get_env	tests/fixtures/parity/facturador/company_get_env	passed	cutover	unassigned	
facturador	company_get_env	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.company_get_env	tests/fixtures/parity/facturador/company_get_env	passed	cutover	unassigned	
facturador	company_prod_users	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.company_prod_users	tests/fixtures/parity/facturador/company_prod_users	passed	cutover	unassigned	
facturador	company_stag_users	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.company_stag_users	tests/fixtures/parity/facturador/company_stag_users	passed	cutover	unassigned	
facturador	copy_master_tables	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.copy_master_tables	tests/fixtures/parity/facturador/copy_master_tables	passed	cutover	unassigned	
facturador	delete_reciver	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.delete_reciver	tests/fixtures/parity/facturador/delete_reciver	passed	cutover	unassigned	
facturador	getCompannyLocationInformation	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.getCompannyLocationInformation	tests/fixtures/parity/facturador/getCompannyLocationInformation	passed	cutover	unassigned	
facturador	getProductByCode	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.getProductByCode	tests/fixtures/parity/facturador/getProductByCode	passed	cutover	unassigned	
facturador	getSucursales	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.getSucursales	tests/fixtures/parity/facturador/getSucursales	passed	cutover	unassigned	
facturador	getTerminales	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.getTerminales	tests/fixtures/parity/facturador/getTerminales	passed	cutover	unassigned	
facturador	getUnid	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.getUnid	tests/fixtures/parity/facturador/getUnid	passed	cutover	unassigned	
facturador	getUserPermissionById	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.getUserPermissionById	tests/fixtures/parity/facturador/getUserPermissionById	passed	cutover	unassigned	
facturador	getUsersCompanny	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.getUsersCompanny	tests/fixtures/parity/facturador/getUsersCompanny	passed	cutover	unassigned	
facturador	get_active_receiver	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.get_active_receiver	tests/fixtures/parity/facturador/get_active_receiver	passed	cutover	unassigned	
facturador	get_all_privinces	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.get_all_privinces	tests/fixtures/parity/facturador/get_all_privinces	passed	cutover	unassigned	
facturador	get_cantons	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.get_cantons	tests/fixtures/parity/facturador/get_cantons	passed	cutover	unassigned	
facturador	get_companny_information	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.get_companny_information	tests/fixtures/parity/facturador/get_companny_information	passed	cutover	unassigned	
facturador	get_companny_information_admin	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.get_companny_information_admin	tests/fixtures/parity/facturador/get_companny_information_admin	passed	cutover	unassigned	
facturador	get_district	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.get_district	tests/fixtures/parity/facturador/get_district	passed	cutover	unassigned	
facturador	get_inventory	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.get_inventory	tests/fixtures/parity/facturador/get_inventory	passed	cutover	unassigned	
facturador	get_neighborhood	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.get_neighborhood	tests/fixtures/parity/facturador/get_neighborhood	passed	cutover	unassigned	
facturador	get_prod_companny_credentials	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.get_prod_companny_credentials	tests/fixtures/parity/facturador/get_prod_companny_credentials	passed	cutover	unassigned	
facturador	get_prod_credentials	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.get_prod_credentials	tests/fixtures/parity/facturador/get_prod_credentials	passed	cutover	unassigned	
facturador	get_receiver_by_id	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.get_receiver_by_id	tests/fixtures/parity/facturador/get_receiver_by_id	passed	cutover	unassigned	
facturador	get_stag_companny_credentials	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.get_stag_companny_credentials	tests/fixtures/parity/facturador/get_stag_companny_credentials	passed	cutover	unassigned	
facturador	get_stag_credentials	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.get_stag_credentials	tests/fixtures/parity/facturador/get_stag_credentials	passed	cutover	unassigned	
facturador	get_tipo_impuesto	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.get_tipo_impuesto	tests/fixtures/parity/facturador/get_tipo_impuesto	passed	cutover	unassigned	
facturador	get_type_of_id	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.get_type_of_id	tests/fixtures/parity/facturador/get_type_of_id	passed	cutover	unassigned	
facturador	get_vouchers	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.get_vouchers	tests/fixtures/parity/facturador/get_vouchers	passed	cutover	unassigned	
facturador	info	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.info	tests/fixtures/parity/facturador/info	passed	cutover	unassigned	
facturador	inser_to_log_table	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.inser_to_log_table	tests/fixtures/parity/facturador/inser_to_log_table	passed	cutover	unassigned	
facturador	users_log_me_out	./api/contrib/facturador/module.php	W2_BUSINESS	P1	completed	python_api.handlers.facturador.users_log_me_out	tests/fixtures/parity/facturador/users_log_me_out	passed	cutover	unassigned	
fileUploader	subir_certif	./api/contrib/fileUploader/module.php	W2_BUSINESS	P2	completed	python_api.handlers.fileUploader.subir_certif	tests/fixtures/parity/fileUploader/subir_certif	passed	cutover	unassigned	
fileUploader	subir_xml	./api/contrib/fileUploader/module.php	W2_BUSINESS	P2	completed	python_api.handlers.fileUploader.subir_xml	tests/fixtures/parity/fileUploader/subir_xml	passed	cutover	unassigned	
fileUploader	test	./api/contrib/fileUploader/module.php	W2_BUSINESS	P2	completed	python_api.handlers.fileUploader.test	tests/fixtures/parity/fileUploader/test	passed	cutover	unassigned	
files	filesGetUrl	./api/modules/files/module.php	W1_CORE	P1	completed	python_api.handlers.files.filesGetUrl	tests/fixtures/parity/files/filesGetUrl	passed	cutover	unassigned	python_handler_native_partial_no_parity;canary_block_4_passed_2026-02-12_cutover_local
files	files_view_file	./api/modules/files/module.php	W1_CORE	P1	completed	python_api.handlers.files.files_view_file	tests/fixtures/parity/files/files_view_file	passed	cutover	unassigned	python_handler_native_partial_no_parity;canary_block_4_passed_2026-02-12_cutover_local
files	upload	./api/modules/files/module.php	W1_CORE	P1	completed	python_api.handlers.files.upload	tests/fixtures/parity/files/upload	passed	cutover	unassigned	python_handler_native_partial_no_parity;canary_block_4_passed_2026-02-12_cutover_local
firmarXML	firmar	./api/contrib/firmarXML/module.php	W1_CORE	P0	completed	python_api.handlers.firmarXML.firmar	tests/fixtures/parity/firmarXML/firmar	passed	cutover	unassigned	python_handler_native_partial_no_parity;canary_block_3_passed_2026-02-12_cutover_local
genXML	gen_xml_fe	./api/contrib/genXML/module.php	W1_CORE	P0	completed	python_api.handlers.genXML.gen_xml_fe	tests/fixtures/parity/genXML/gen_xml_fe	passed	cutover	unassigned	python_handler_native_partial_no_parity;canary_block_3_passed_2026-02-12_cutover_local
genXML	gen_xml_fec	./api/contrib/genXML/module.php	W1_CORE	P0	completed	python_api.handlers.genXML.gen_xml_fec	tests/fixtures/parity/genXML/gen_xml_fec	passed	cutover	unassigned	python_handler_native_partial_no_parity;canary_block_3_passed_2026-02-12_cutover_local
genXML	gen_xml_fee	./api/contrib/genXML/module.php	W1_CORE	P0	completed	python_api.handlers.genXML.gen_xml_fee	tests/fixtures/parity/genXML/gen_xml_fee	passed	cutover	unassigned	python_handler_native_partial_no_parity;canary_block_3_passed_2026-02-12_cutover_local
genXML	gen_xml_mr	./api/contrib/genXML/module.php	W1_CORE	P0	completed	python_api.handlers.genXML.gen_xml_mr	tests/fixtures/parity/genXML/gen_xml_mr	passed	cutover	unassigned	python_handler_native_partial_no_parity;canary_block_3_passed_2026-02-12_cutover_local
genXML	gen_xml_nc	./api/contrib/genXML/module.php	W1_CORE	P0	completed	python_api.handlers.genXML.gen_xml_nc	tests/fixtures/parity/genXML/gen_xml_nc	passed	cutover	unassigned	python_handler_native_partial_no_parity;canary_block_3_passed_2026-02-12_cutover_local
genXML	gen_xml_nd	./api/contrib/genXML/module.php	W1_CORE	P0	completed	python_api.handlers.genXML.gen_xml_nd	tests/fixtures/parity/genXML/gen_xml_nd	passed	cutover	unassigned	python_handler_native_partial_no_parity;canary_block_3_passed_2026-02-12_cutover_local
genXML	gen_xml_rep	./api/contrib/genXML/module.php	W1_CORE	P0	completed	python_api.handlers.genXML.gen_xml_rep	tests/fixtures/parity/genXML/gen_xml_rep	python_only_v44_captured	cutover	unassigned	additive_v44_route_no_php_baseline
genXML	gen_xml_te	./api/contrib/genXML/module.php	W1_CORE	P0	completed	python_api.handlers.genXML.gen_xml_te	tests/fixtures/parity/genXML/gen_xml_te	passed	cutover	unassigned	python_handler_native_partial_no_parity;canary_block_3_passed_2026-02-12_cutover_local
genXML	test	./api/contrib/genXML/module.php	W1_CORE	P0	completed	python_api.handlers.genXML.test	tests/fixtures/parity/genXML/test	passed	cutover	unassigned	python_handler_native_partial_no_parity;canary_block_3_passed_2026-02-12_cutover_local
geoloc	geoloc_create_tables	./api/modules/geoloc/module.php	W3_SUPPORT	P2	completed	python_api.handlers.geoloc.geoloc_create_tables	tests/fixtures/parity/geoloc/geoloc_create_tables	passed	cutover	unassigned	
geoloc	geoloc_get_by_ip	./api/modules/geoloc/module.php	W3_SUPPORT	P2	completed	python_api.handlers.geoloc.geoloc_get_by_ip	tests/fixtures/parity/geoloc/geoloc_get_by_ip	passed	cutover	unassigned	
geoloc	geoloc_load_blocks	./api/modules/geoloc/module.php	W3_SUPPORT	P2	completed	python_api.handlers.geoloc.geoloc_load_blocks	tests/fixtures/parity/geoloc/geoloc_load_blocks	passed	cutover	unassigned	
geoloc	geoloc_load_locations	./api/modules/geoloc/module.php	W3_SUPPORT	P2	completed	python_api.handlers.geoloc.geoloc_load_locations	tests/fixtures/parity/geoloc/geoloc_load_locations	passed	cutover	unassigned	
makeJson	makeJson	./api/contrib/makeJson/module.php	W3_SUPPORT	P2	completed	python_api.handlers.makeJson.makeJson	tests/fixtures/parity/makeJson/makeJson	passed	cutover	unassigned	
makeQR	makeQR	./api/contrib/makeQR/module.php	W2_BUSINESS	P2	completed	python_api.handlers.makeQR.makeQR	tests/fixtures/parity/makeQR/makeQR	passed	cutover	unassigned	
send	json	./api/contrib/send/module.php	W1_CORE	P0	completed	python_api.handlers.send.json	tests/fixtures/parity/send/json	passed	cutover	unassigned	python_handler_native_partial_no_parity;canary_block_3_passed_2026-02-12_cutover_local
send	sendMensaje	./api/contrib/send/module.php	W1_CORE	P0	completed	python_api.handlers.send.sendMensaje	tests/fixtures/parity/send/sendMensaje	passed	cutover	unassigned	python_handler_native_partial_no_parity;canary_block_3_passed_2026-02-12_cutover_local
send	sendTE	./api/contrib/send/module.php	W1_CORE	P0	completed	python_api.handlers.send.sendTE	tests/fixtures/parity/send/sendTE	passed	cutover	unassigned	python_handler_native_partial_no_parity;canary_block_3_passed_2026-02-12_cutover_local
sendMail	sendmail	./api/contrib/sendMail/module.php	W2_BUSINESS	P2	completed	python_api.handlers.sendMail.sendmail	tests/fixtures/parity/sendMail/sendmail	passed	cutover	unassigned	
signXML	signFE	./api/contrib/signXML/module.php	W2_BUSINESS	P2	completed	python_api.handlers.signXML.signFE	tests/fixtures/parity/signXML/signFE	passed	cutover	unassigned	
token	gettoken	./api/contrib/token/module.php	W1_CORE	P0	completed	python_api.handlers.token.gettoken	tests/fixtures/parity/token/gettoken	passed	cutover	unassigned	python_handler_ported_no_parity;canary_block_1_passed_2026-02-12_cutover_local
token	refresh	./api/contrib/token/module.php	W1_CORE	P0	completed	python_api.handlers.token.refresh	tests/fixtures/parity/token/refresh	passed	cutover	unassigned	python_handler_ported_no_parity;canary_block_1_passed_2026-02-12_cutover_local
users	login_auto	./api/modules/users/module.php	W1_CORE	P0	completed	python_api.handlers.users.login_auto	tests/fixtures/parity/users/login_auto	passed	cutover	unassigned	python_handler_ported_no_parity;canary_block_2_passed_2026-02-12_cutover_local
users	users_avatar_get	./api/modules/users/module.php	W1_CORE	P0	completed	python_api.handlers.users.users_avatar_get	tests/fixtures/parity/users/users_avatar_get	passed	cutover	unassigned	python_handler_ported_no_parity;canary_block_2_passed_2026-02-12_cutover_local
users	users_avatar_upload	./api/modules/users/module.php	W1_CORE	P0	completed	python_api.handlers.users.users_avatar_upload	tests/fixtures/parity/users/users_avatar_upload	passed	cutover	unassigned	python_handler_ported_no_parity;canary_block_2_passed_2026-02-12_cutover_local
users	users_confirm_session_vilidity	./api/modules/users/module.php	W1_CORE	P0	completed	python_api.handlers.users.users_confirm_session_vilidity	tests/fixtures/parity/users/users_confirm_session_vilidity	passed	cutover	unassigned	python_handler_ported_no_parity;canary_block_2_passed_2026-02-12_cutover_local
users	users_get_list	./api/modules/users/module.php	W1_CORE	P0	completed	python_api.handlers.users.users_get_list	tests/fixtures/parity/users/users_get_list	passed	cutover	unassigned	python_handler_ported_no_parity;canary_block_2_passed_2026-02-12_cutover_local
users	users_get_my_details	./api/modules/users/module.php	W1_CORE	P0	completed	python_api.handlers.users.users_get_my_details	tests/fixtures/parity/users/users_get_my_details	passed	cutover	unassigned	python_handler_ported_no_parity;canary_block_2_passed_2026-02-12_cutover_local
users	users_log_me_in	./api/modules/users/module.php	W1_CORE	P0	completed	python_api.handlers.users.users_log_me_in	tests/fixtures/parity/users/users_log_me_in	passed	cutover	unassigned	python_handler_ported_no_parity;canary_block_2_passed_2026-02-12_cutover_local
users	users_log_me_out	./api/modules/users/module.php	W1_CORE	P0	completed	python_api.handlers.users.users_log_me_out	tests/fixtures/parity/users/users_log_me_out	passed	cutover	unassigned	python_handler_ported_no_parity;canary_block_2_passed_2026-02-12_cutover_local
users	users_personal_bg_get	./api/modules/users/module.php	W1_CORE	P0	completed	python_api.handlers.users.users_personal_bg_get	tests/fixtures/parity/users/users_personal_bg_get	passed	cutover	unassigned	python_handler_ported_no_parity;canary_block_2_passed_2026-02-12_cutover_local
users	users_personal_bg_upload	./api/modules/users/module.php	W1_CORE	P0	completed	python_api.handlers.users.users_personal_bg_upload	tests/fixtures/parity/users/users_personal_bg_upload	passed	cutover	unassigned	python_handler_ported_no_parity;canary_block_2_passed_2026-02-12_cutover_local
users	users_recover_pwd	./api/modules/users/module.php	W1_CORE	P0	completed	python_api.handlers.users.users_recover_pwd	tests/fixtures/parity/users/users_recover_pwd	passed	cutover	unassigned	python_handler_ported_no_parity;canary_block_2_passed_2026-02-12_cutover_local
users	users_register	./api/modules/users/module.php	W1_CORE	P0	completed	python_api.handlers.users.users_register	tests/fixtures/parity/users/users_register	passed	cutover	unassigned	python_handler_ported_no_parity;canary_block_2_passed_2026-02-12_cutover_local
users	users_update_profile	./api/modules/users/module.php	W1_CORE	P0	completed	python_api.handlers.users.users_update_profile	tests/fixtures/parity/users/users_update_profile	passed	cutover	unassigned	python_handler_ported_no_parity;canary_block_2_passed_2026-02-12_cutover_local
version	version	./api/contrib/version/module.php	W3_SUPPORT	P2	completed	python_api.handlers.version.version	tests/fixtures/parity/version/version	passed	cutover	unassigned	
wirez	conversations_get_details	./api/modules/wirez/module.php	W3_SUPPORT	P2	completed	python_api.handlers.wirez.conversations_get_details	tests/fixtures/parity/wirez/conversations_get_details	passed	cutover	unassigned	
wirez	messages_get_in_conversation	./api/modules/wirez/module.php	W3_SUPPORT	P2	completed	python_api.handlers.wirez.messages_get_in_conversation	tests/fixtures/parity/wirez/messages_get_in_conversation	passed	cutover	unassigned	
wirez	messages_get_recent	./api/modules/wirez/module.php	W3_SUPPORT	P2	completed	python_api.handlers.wirez.messages_get_recent	tests/fixtures/parity/wirez/messages_get_recent	passed	cutover	unassigned	
wirez	messages_send	./api/modules/wirez/module.php	W3_SUPPORT	P2	completed	python_api.handlers.wirez.messages_send	tests/fixtures/parity/wirez/messages_send	passed	cutover	unassigned	
